images,captions
10927,A woman is sitting at the desk with the laptop
10928,A woman with glasses leaning on her desk
10929,A woman wearing glasses sitting at a desk with a laptop computer. 
10930,A woman sitting in front of her computer in deep thought
10931,a woman in glasses sits in front of a laptop 
10932,A snowboarder on a hill with other snowboarders in the distance.
10933,A person in a brown coat and white pants on a snowboard people in the background skiing and snowboarding.
10934,A person riding a snowboard down a ski slope.
10935,Snow boarder gently coming down a slight grade
10936,A person snow boards down a snowy hill.
10937,A close up of a person holding the Wii Classic Controller. 
10938,Girl playing with a Nintendo Wii remote controller
10939,A girl is holding a controller with her hands
10940,A woman holding a game controller with black fingernails.
10941,a persons two hands are holding a game controller
10942,this is a tennis player about to hit a tennis ball
10943,A female tennis player wearing white on a grassy field. 
10944,The woman is playing tennis on the court. 
10945,A women who is on a tennis court in the ready position.
10946,A young woman playing tennis on a grass court.
10947,A woman is slicing limes in her kitchen. 
10948,A woman with a knife that is cutting apples.
10949,A woman is cutting limes on a cutting board.
10950,A woman in the kitchen cutting an apple.
10951,a lady cutting up some fruit with a knife.
10952,A little girl is making a huge mess with a birthday cake. 
10953,A baby with a bib eats a cake.
10954,A young baby is eating and playing with some cake.
10955,A child in a booster chair eating a cake 
10956,a small child is sitting on a seat
10957,A man sitting at a table with a glass of wine and camera.
10958,A man sitting at a table holding a wine glass.
10959,A man looks impatient holding a glass of red wine.
10960,A man is sitting at a table with a wine glass in his hands.
10961,A man sitting at a dining table with a camera and some wine
10962,Man in black and red jacket standing beside a cow.
10963,A man is holding on to a large cow.
10964,an image of a man with his hands on a bull
10965,A man is standing with his arm on a large cow.
10966,a man standing next to a cow while standing in a barn.
10967,A man riding a blue motorcycle past a grass covered hill.
10968,A person wears a helmet while riding a motorcycle.
10969,A man on a motorcycle races down a street. 
10970,A man on a blue motorcycle is going down the road.
10971," a man driving down the street in motorcycle
"
10972,a man laying on a surf board rides in the water 
10973,A person on a board in the water and waves.
10974,A man that is laying on a surfboard in the water.
10975,A surfer is riding a wave in the ocean.
10976,A surfer lies on a surfboard that is  in small waves.
10977,a young girl is holding a teddy bear 
10978,A girl with a pink dress holding a teddy bear. 
10979,A little girl with wavy hair and smile holding a teddy bear.
10980,A girl in a pink outfit holding a teddy bear.
10981,A young precocious girl clutching her teddy bear.
10982,A man eating a glazed donut over a table.
10983,a man eating a doughnut next to some baby toys
10984,A guy is eating a doughnut at a messy table.
10985,A man holding a donut with both hands and taking a bite.
10986,A man is eating a doughnut and toys are on the table.
10987,a woman is riding a horse in a room
10988,A woman on her horse rides across the room
10989,Black horse and rider inside a building with a three-step platform.
10990,A person that is sitting on a horse.
10991,A women who is sitting on a horse.
10992,A girl sitting at a table full of bananas.
10993,A girl at a market selling ripe bananas.
10994,The young girl is selling bananas in the market.
10995,A young woman sells bananas at a stand surrounded by other fruit stands. 
10996,The woman is sitting and looking at something on her mobile phone.  
10997,A woman in a white shirt uses her cell phone on a bench. 
10998,A young woman looking down at a cellphone.
10999,A girl checking her phone in a busy restaurant.
11000,A close up of a woman holding a cell phone.
11001,A man with an injured hand sleeping in a bed.
11002,Older looking man half asleep on a small bed. 
11003,a closeup of a person in bed under covers 
11004,A man who has just woken up inside of his bed.
11005,a bearded man is waking up in a bed
11006,A guy riding a skateboard on the road with a long pole.
11007,A man long boarding with a stick to propel him.
11008,A man with a stick pushing himself by skateboard
11009,Guy riding skateboard with a long stick while others ride bikes around him
11010,Adult male pushing himself on a skateboard with a stick. 
11011,A person sitting on a boat with supplies while wearing a straw hat.
11012,Woman wearing big hat rides a motor boat through the river
11013,A person in a shallow boat with an engine.
11014,A woman wearing a hat is sitting on a boat.
11015,A woman in a boat on the water with a motor.
11016,A person watches television while laying on a bed.
11017,Point-of-view image of lying on a bed watching TV.
11018,A person laying on a bed watching TV that is in an amoire.
11019,a person that is laying down in the bed
11020,The person is laying on the bed watching television.
11021,A young woman is curling her long hair.
11022,There is a woman holding scissors to her hair.
11023,A woman that is holding her hair and a pair of scissors.
11024,A woman looks apprehensive as she prepares to cut her own hair with scissors. 
11025,a lady cutting her own hair with a pair of huge scissors
11026,A person on a bike in front of a car.
11027,A man is crossing the street on a bicycle.
11028,A man crossing an intersection on his bicycle in front of a car. 
11029,A man passing an intersection riding a bike
11030,A boy riding a skate board around the counter edge of a skate board park.
11031,A man riding a skateboard up the side of a ramp.
11032,The young man is practicing his tricks on his skateboard. 
11033,A person riding a skateboard across a graffiti covered surface.
11034,a male skateboarder in a red and white shirt  
11035,The boy is getting ready to serve the tennis ball.
11036,A boy is preparing to serve a tennis ball.
11037,There is a boy holding a tennis ball and racket.
11038,A boy is preparing to hit the tennis ball in an indoor court. 
11039,a guy about to serve a tennis ball
11040,A man smiling in front of a white cake. 
11041,"A man, holding a knife, getting ready to cut a cake."
11042,A man standing next to a table with a large cake on it.
11043,A man smiling while standing near a birthday cake.
11044,A smiling man holding a knife near a cake.
11045,A women who is taking a picture of herself with a cell phone.
11046,Woman in green sweater taking selfie in mirror.
11047,A young lady is smiling for the camera and taking his picture. 
11048,a person taking a photo in a mirror 
11049,A woman smiling for a photo she is taking of herself.
11050,A little kid holding a small cupcake in his hand.
11051,A boy in a red and blacked striped shirt is eating cookies from a table.
11052,a young boywearing a dinosaur shirt eating a cupcake
11053,A small child helps to decorate some cupcakes
11054,A toddler gets ready to eat a marshmallow.
11055,A young man is jumping in the air and flipping his skateboard.
11056,A man doing a trick on a skateboard in a skate park.
11057,A skateboarder riding his board late at night.
11058,The skater is jumping high into the air with the board.
11059,The young man is practicing his tricks on his skateboard. 
11060,a person riding a surf board on a wave
11061,A male surfer is riding a yellow surfboard in the water
11062,A man in  a yellow shirt on a yellow surfboard
11063,A boy on a yellow surf board on the water
11064,A man riding on top of a yellow surfboard.
11065,A man in black shirt on asphalt next to a skateboard.
11066,a person getting up off the ground next to a skate board
11067,A man that is sitting down next to a skateboard.
11068,A young man is sitting on the ground near a skateboard.  
11069,A boy sitting on the pavement next to a skateboard.
11070,A man teeters on the edge of stairs on his skateboard.
11071,A young man skating alone on a verandah
11072,the man is riding his skateboard down a stairs 
11073,A picture of a young man doing stunts on a skateboard. 
11074,A man in front of a building on a skate board.
11075,A man riding a skateboard on it's back wheels.
11076,A girl on her phone sitting on the floor.
11077,A woman sitting on the floor using her smartphone.
11078,a woman sits on the floor next to a tube on her phone
11079,A woman uses her iphone while sitting on the floor next to her yoga mat.
11080,The woman is sitting on the floor using her cell phone.
11081,A shirtless skateboarder rolling down a ramp on two wheels.
11082,A shirtless man riding as skate board on a half pipe ramp
11083,The man is riding his skateboard in the yard. 
11084,Adult skateboarder doing tricks on sidewalk near wooden ramp.
11085,S man in cap and shorts is skateboarding down the street.
11086,A young man riding a skateboard up the side of a ramp.
11087,A man who is performing a trick on a skateboard.
11088,A boy is skateboarding on a half pipe. 
11089,A man is doing skateboard tricks on a ramp.
11090,A skateboarder jumping off a ramp at a skate park 
11091,A guy rides his skateboard down a hill on the road. 
11092,A person skateboarding down a paved road on a sunny day.
11093,The man is riding his skateboard down the road. 
11094,A skateboarder skating down a steep hill marked with cones.
11095,A man roller-blading during a sunny day somewhere.
11096,A baby messily eats a cake with her hands. 
11097,A child sitting on the ground eating a cake.
11098,A baby eats chocolate cake with a banner behind her
11099,a baby on the ground with a large cake
11100,A baby in bloomers eating a chocolate cake with her hands.
11101,A woman running across a field with a tennis racket.
11102,Woman in white dress playing a game of tennis.
11103,a tennis player swinging a tennis racket 
11104,A tennis player is returning a ball over the net in game.
11105,A tennis player runs across the court to hit the ball.
11106,A person putting something in a black dog's mouth.
11107,A hand is giving a black dog a white treat.
11108,A woman is holding something for a dog to bite at.
11109,A man hands his black dog a bone 
11110,The woman in standing in the ocean holding a kite. 
11111,a woman by the water holding onto a kite with a sun pattern on it
11112,Large woman holding up a kite in front of the ocean. 
11113,A woman standing on a beach while holding a colorful kite.
11114,A woman stands in the surf holding a kite.
11115,A woman with a kite standing in ankle-deep ocean water.
11116,This sweet little girl is posing while seated in a kiddie car and holding a Batman umbrella.
11117,A little girl is in a toy car with an umbrella.
11118,A small girl is in a toy car with an umbrella.
11119,A little girl in her play car holding a batman umbrella 
11120,A girl holding a Batman Umbrella and sitting in a toy car.
11121,A young man doing a flip on a skateboard in the middle of a busy street.
11122,A man is doing a skateboard trick in a city.
11123,a person riding a skate board on a city side walk
11124,a man is doing skateboard tricks off the side of a busy street
11125,A man doing a leap on a skateboard on a city sidewalk.
11126,A women sitting at the table with pizza and beer .
11127,A woman gives a thumbs up while posing with a pizza at a table. 
11128,A woman in red dress standing next to a pizza on stone tray.
11129,A lady is giving a thumbs up while sitting at a table with pizza and beer.
11130,A man flying through the air while riding skis.
11131,A snow skier is flying through the air.
11132,a person wearing colorful gear doing tricks on skis
11133,A person performing a jump on the skis.
11134,A skier performs a ski jump high into the air.
11135,A man standing in the front yard of a home holding a giant frisbee.
11136,A man on his lawn is playing with a big frisbee.
11137,A man holding a large blue frisbee in a yard.
11138,A young man on the grass holding a frisbee
11139,a person in the front yard with a large frisbee 
11140,A baseball player is getting ready to hit a ball.
11141,A baseball player who has taken a swing.
11142,A man playing a baseball game has just swung a bat. 
11143,A man with a baseball bat standing in the dirt.
11144,A man throws his bat on a field. 
11145,a woman in a bikini cleaning herself off with a shower head
11146,a girl in a black bikini is taking a shower
11147,A girl in an open shower wearing a bikini.
11148,A girl in a bathing suit is showering off in a bathroom area with an open stall.
11149,a person in a bathroom with an open stand up shower
11150,A woman holding a bat in both of her hands.
11151,A woman up to bat on a baseball field.
11152,A baseball player swinging during her turn at bat.
11153,The baseball player is swinging her bat on the field.
11154,A girl with a baseball bat in her hand and a person behind a fence.
11155,A man parked near the ocean taking pictures.
11156,A man stops at an intersection to take  a picture.
11157,"A man has stopped and left his car facing away from an intersection to stand on some dry grass on a street isle, in order to face the same direction as his car and take a picture.   "
11158,A man is taking a photo of something on the corner.
11159,a male in a black jacket with a camera 
11160,A MAN SHOWING HE IS ON A PHONE CALL
11161,A man is holding up a smart phone.
11162,Man holding showing off cell phone in room.
11163,THIS MAN HAS A HUGE SMILE POSING WITH HIS PHONE
11164,A smiling man in glasses holding up an iPhone to his face
11165,a boy eating a doughnut and holding a coffee cup
11166,A bespectacled man about to eat a donut in the park
11167,a man in glasses is holding a snadwich
11168,A man who looks like the zodiac killer eating a donut while holding a yellow cup.
11169,a male in a gray sweatshirt is holding a donut and a drink
11170,A young man performs a trick on a skateboard.
11171,A young boy doing tricks on his skateboard. 
11172,The boy in jeans and a teeshirt is doing a trick on his skateboard.
11173,This is an image of a boy jumping on a skateboard.
11174,A boy jumps in the air above his skateboard as people look on. 
11175,A kid standing over a with a plate of donuts.
11176,an image of a boy blowing the candles on donuts
11177,A little boy blowing out candles on donuts.
11178,A child is blowing out candles in donuts.
11179,A boy blowing out birthday candles stuck into four donuts on a plate
11180,A woman is kneeling down next to a toilet.
11181,A woman sitting on a bathroom floor leaning over a toilet.
11182,Women wearing black clothes sitting next to the toilet. 
11183,a girl in a blue top a toilet and a bidet and blue tiles
11184,A woman that is kneeling next to a toilet.
11185,A young child resting his leg on a bench
11186,A young boy sitting down on a green bench.
11187,A toddler is sitting on bench at a park. 
11188,a little boy sitting on a bench outside in the day
11189,a little boy with red shoes on sitting on a bench 
11190,A girl holding two baby bears while sitting on the floor.
11191,two small black bears being held by a volunteer at an animal shelter
11192,A woman sitting on the floor cuddling with two baby bears.
11193,A woman is holding some bear cubs in her lap.
11194,A young woman playing with two baby bears.
11195,Children and adults are riding skateboards at the skate park
11196,a couple of people that are skateboarding on a ramp
11197,A cement skate park filled with skating children
11198,A man with a horse pulling a wagon of hay.
11199,A man guides a horse that is pulling him and a huge bale of hay
11200,a person riding a horse puling a lot of hay
11201,A man on a horse is pulling a cart of hay.
11202,A man rides a donkey pulling a trailer of hay
11203,A woman holding a teddy bear on a table.
11204,A small white stuffed bear on a table.
11205,The stuffed teddy bear is wearing a pink and white dress.
11206,A young person is holding a small dressed-up bear. 
11207,A teddy bear is on top of a children's book.
11208,A young boy sitting at a table with donuts.
11209,A young child who is eating some food.
11210,Young boy sitting next to adult eating pastry in eatery.
11211,a little kid is sitting and eating a doughnut
11212,A baby is having a taste from the donuts sitting on napkins in front of him.
11213,A man decorating the hide of an elephant with crayons
11214,A man in an orange shirt painting images on an elephant. 
11215,A man is drawing photos on an elephant.
11216,a person drawing pictures  on an elephant
11217,A man draws pictures on an elephant. 
11218,A man riding on the back of a brown horse.
11219,A person on a horse jumping a set of rails.
11220,A person on brown horse jumping it over a barrier.
11221,A jockey rides a horse as he jumps over an obstacle. 
11222,An equestrian riding a brown horse during a horse show
11223,A person sitting on the ground while snowboarding.
11224,A man on a snowboard is sitting in the snow
11225,A person sits in the snow with a snow board on.
11226,Man sitting in snow while adjusting boots and snowboard.
11227,A snowboarder ties his shoe with his gloves on
11228,The young child is attempting to play the video game.
11229,A young child holding a Wii remote and nun-chuck in a living room.
11230,A young boy who is playing a video game.
11231,Little boy standing and playing a video game.
11232,A picture of a little boy playing Wii. 
11233,A cop riding on the back of a black horse.
11234,a horse cop sitting on a horse on a public street.
11235,A person is riding a horse on a street.
11236,a man in a blue jacket and helmet on a black horse
11237,A policeman on a horse is standing across the street from a building.
11238,A man pushing a luggage bard through the middle of an airport.
11239,An airport lobby with people carrying luggage and waiting at the counter.
11240,a person wearing a blue button up shirt pushing a cart
11241,a man is pushing a cart in an airport. 
11242, A man walking through the airport pushing a cart.
11243,A man in a shirt and tie with his hands in his pockets leaning against a wall.
11244,A bearded man wearing a tie standing near a dirty wall.
11245,Man in dress clothes standing in front of a wall. 
11246,a male in a white shirt and black tie
11247,A man is posing with his hands in his pockets in front of a building. 
11248,A black and white photo of a person holding a surfboard next to the ocean.
11249,A person holding a small surfboard is standing by the water.
11250,Adult standing on beach looking at waves with urban area across the way.
11251,A man is holding a boogie board in front of the ocean.
11252,A man stares at the ocean while carrying a boogie board in this black and white photograph.
11253,A woman in blue shirt and jeans sitting on a white chair eating.
11254,A woman sitting on a chair with a spoon in her hand.
11255,A woman sits in a chair and eats some food.
11256,a female in a blue top is sitting on a white chair
11257,A woman sitting on top of a white lawn chair.
11258,A man is holding a mini pizza in front of a computer.
11259,A man with a pizza playing on the computer
11260,A person with a pieces of food net to a computer. 
11261,A man at his work desk preparing to eat a small pizza.
11262,A man holding a pizza at a computer.
11263,A person sitting on the floor playing a game with a remote controller.
11264,A person sitting on the floor  playing computer games by holding remote.
11265,A guy is sitting on a brown carpet playing the Wii.
11266,A person sitting on the floor holding a wii video game controller.
11267,A person wearing jeans and black socks sitting on the floor playing a video game
11268,"two people touching their frosted, sprinkled donuts together"
11269,A couple of people holding frosted donuts in their hands.
11270,a person is holding a couple of doughnuts
11271,"View of two touching doughnuts with sprinkles, one bitten, held by two different hands."
11272,Tennis player with tennis racket waiting for a tennis ball.
11273,A man on with his racket is anticipating the ball. 
11274,a male tennis player in a black shirt is playing tennis
11275,The tennis player is in the air after jumping to hit a ball.
11276,a tennis player standing on a tennis court with a racket
11277,AN OLD LADY SLEEPING ON THE BENCH WITH A BABY BUGGY IN FRONT OF HER.
11278,An elderly person leaning back on a park bench with a walker in front of him.
11279,A woman with a walker is sitting on a park bench.
11280,An elderly person with a walker asleep while sitting on a park bench.
11281,Old lady takes a rest from her walker on a sea side bench
11282,A baby boy is laying on a couch.
11283,A small boy with a toothbrush laying on a couch
11284,A small child lying on a couch holding a toothbrush.
11285,A boy laying on top of a couch holding a tooth brush.
11286,A young boy laying down with a toothbrush
11287,A man standing next to a woman on a tennis court.
11288,A man and woman are standing on the tennis court
11289,A man and woman standing on a tennis court
11290,A man is holding a tennis racket near a woman on a tennis court.
11291,A man holding a tennis racquet is standing next to a girl. 
11292,A man on a court with a tennis racket.
11293,A man is swinging his tennis racket near his face.
11294,a man is swinging a tennis racket over his shoulder
11295,a tennis player swinging a racket on a court
11296,A tennis player in action with a racket.
11297,A little girl eating food from a plate.
11298,a little girl uses a fork as she eats her food
11299,A young girl is eating food with a fork.
11300,The girl is eating her food in a restaurant.
11301,A small girl eating a plate of food with a fork
11302,a woman using a video game remote control in a living room
11303,A smiling woman is holding a WII controller.
11304,A woman holding a game controller in front of a fire place.
11305,A smiling woman playing Wii in her living room
11306,A WOMAN IS PLAYIN AND SMILING WITH WII 
11307,A chef in a kitchen standing next to a counter with jars and containers.
11308,The chef has already canned several jars of foodstuff.
11309,a chef in a kitchen with jars bowls and machines
11310,a chef in a white chef coat leaning on a table with three white bowls
11311,A chef is leaning on his counter with green jars on it. 
11312,A snowboarder dressed in black heading down a slope.
11313,A skier is going downhill on a wooded slope.
11314,A snowboarder wearing black sliding down a slope in the snow.
11315,A man riding a snowboard down a snow covered slope.
11316,A skier on the slopes in the mountains 
11317,A person holding a tennis racquet on a tennis court.
11318,a person that is standing on a tennis court
11319,A man in all white and a white visor playing tennis.
11320,A male tennis player is playing tennis in an outdoor court.
11321,A tennis player hits a ball during a match.
11322,A young boy with his hand on a computer mouse.
11323,A baby sitting at a chair by a computer desk.
11324,The baby is sitting at his mother/father's desk touching some of the technological equipment.
11325,A baby sits in front of a keyboard in an office chair and plays with a mouse.
11326,A young child sits in an office chair at a work station.
11327,A young woman wearing tight jeans and a tennis racquet.
11328,A woman is preparing to hit a birdie with a racket.  
11329,"A woman hitting a shuttle cock outside, with a racket."
11330,An attractive woman holding a badminton racket in a yard.
11331,A woman taking a swing at a birdie
11332,A woman is running while carrying an umbrella.
11333,The woman is running with a red umbrella on the road
11334,A woman walking on a brick sidewalk holding an orange umbrella.
11335,A woman walks down a city street as she holds a red umbrella.
11336,a woman runs down the street with an umbrella to keep the heat off of her
11337,A man holding a large brown teddy bear.
11338,A young man is hugging onto a teddy bear.
11339,Young male adult with glasses and hat holding a large beige/white teddy bear.
11340,A man holding a teddy bear in a house. 
11341,A man is holding onto a stuffed animal.
11342,A man in a tuxedo eats a piece of pizza.
11343,A man wearing a black tuxedo is biting a slice of pizza.
11344,a man in a black bow tie is eating some pizza
11345,A man in a tuxedo eating a slice of pizza.
11346,A man in a tux eating a piece of pizza.
11347,A woman takes a large bite of food.
11348,A woman in a red shirt gobbling down a piece of cake.
11349,A male sitting next to a female eating food. 
11350,A person is eating a partially eaten sandwich.
11351,A boy is eating something in front of other people
11352,A young boy standing on top of a tennis court holding a tennis racquet.
11353,A boy is bent over preparing for his return hit of the tennis ball.
11354,A boy is holding a tennis racket and standing on a tennis court.
11355,Young boy with tennis racket awaiting the ball.
11356,A boy holding a tennis racket on a tennis court.
11357,A man is holding a cell phone in front of a mountain.
11358,An older man standing on top of a snow covered slope.
11359,A man looking at a vast mountain landscape.
11360,a man looks out into the mountains 
11361,A man takes a picture of snowy mountains with his cell phone.
11362,An older gentleman is taking a ride on his motorcycle. 
11363,a person wearing a suit riding a scooter 
11364,An older man wearing a suit and tie rides a motor cycle.
11365,A picture of a person riding a motorcycle on the street.
11366,a man in a suit riding a motorcycle on a street
11367,A guy with glasses is biting the box for an Apple computer.
11368,A person with glasses on biting an apple laptop box in an apple store. 
11369,A young fellow with black glasses is biting his box. 
11370,a close up of a person holding a laptop box
11371,A person holding a cellular phone with both hands and a message and keyboard is on the screen.
11372,The person in the striped shirt is typing on their cell phone. 
11373,A person is holding a cell phone and typing.
11374,A person texts on a cell phone they hold in their hands.
11375,Someone is holding their cell phone in their lap.
11376,A woman looks at an electronic device while a child jumps on the bed.
11377,A girl jumping on a bed with a woman looking down at a phone.
11378,A child jumping up and down on top of a bed.
11379,A little girl leaps above a bed as a woman sits on the bed. 
11380,A girl is jumping on top of bed where her mother is.
11381,A man sits on a bench in the sunshine.
11382,a person sitting on a bench on a city street
11383,A gentleman wearing glasses sitting on a bench
11384,a man sitting alone on a black bench
11385,A man is sitting on a bench on a sidewalk. 
11386,a man in a suit drinking a cup of coffee
11387,A person in a suit and tie drinking out of a mug. 
11388,A man in a suit is drinking out of a cup.
11389,A man is taking a drink out of a mug.
11390,A man drinking a cup of coffee. 
11391,A skateboarder rides down a curvy hill. 
11392,A skate boarder is riding downhill around cones.
11393,a person riding a skate board on a closed road
11394,A boy is skateboarding around plastic cones on a road
11395,A person on a skateboard riding on the road.
11396,a woman on skis holding skiing poles on a snow-covered area in front of a parking lot
11397,there is a female skier that is posing for a picture
11398,A women who is wearing snow skis outside.
11399,A skier poses in a red jacket in snow.
11400,A woman wearing a red jacket is wearing ski's in the snow.
11401,A man crossing a street at a crosswalk.
11402,A woman stands alone near a crosswalk near a traffic light.
11403,A person is walking across a street near a traffic light.
11404,A woman waiting at a traffic light to cross the street.
11405,A young boy is going to play t-ball. 
11406,A boy prepares to swing for a tee ball.
11407,A small child taking a swing at a baseball
11408,A small boy with a bat about to hit the ball .
11409,A young boy with a bat and ball on a t-ball stand.
11410,A man with short hair and a black button down coat holds a cell phone and looks up.
11411,A man in a black shirt is holding a cell phone.
11412,A man looking up holding a phone in his hand
11413,a male with a cell phone and a black jacket
11414,A man holding a phone but looking ahead.
11415,Woman holding a baby pointing out to a giraffe. 
11416,An adult and a child looking at a giraffe.
11417,A woman holding a child is pointing at a giraffe in an enclosed area.
11418,A woman holding a child and pointing towards a giraffe.
11419,A man is holding a racket with two hands on the tennis court. 
11420,a man in an orange shirt is playing tennis
11421,A man with a tennis racquet and a ball in the air.
11422,A man holds his racket with both hands as he returns a ball.
11423,A male tennis player as he is about to hit the ball.
11424,A girl sitting on the couch holding a few stuffed animals
11425,A child shouting on a chair with several plush toys
11426,A small child is posing with her teddy bears.
11427,A girl is sitting on a chair holding stuffed animals.
11428,A little girl sitting in a chair holding stuffed animals.
11429,People like to have fun with oranges and tangerines by making smiles. 
11430,a child with a slice of orange in his mouth
11431,A boy with an orange slice making a smiley face.
11432,a child making a funny face with fruit
11433,A young boy is holding a slice of nectarine in his mouth.
11434,A person is walking towards a parking lot where a bus is parked.
11435,An individual standing in a bus station near a parked bus.
11436,a man standing on the street at the bus station
11437,A picture of a person standing outside a bus station.
11438,a lady walking in the dark to a bus that is parked
11439,A tennis player is swinging on a court.
11440,A man playing tennis with his right foot high up behind him. 
11441,a man leaniing forward and holding onto a tennis racket
11442,This tennis player is watching the ball after hitting it
11443,A baby sitting on a bed using a laptop computer.
11444,a toddler playing with a laptop on a bed
11445,A baby on a bed looks like it is typing on a laptop.
11446,A small baby is on a bed with a computer.
11447,A baby is playing on a laptop and having fun. 
11448,The guy is water boarding in the ocean.
11449,A man is holding a wire and sliding on water.
11450,a man in the water on a ski parasailing
11451,a man is riding a board in the water
11452,A person standing on a board and holding on to a handle.
11453,A man holding his cell phone in front of him in his left hand.  
11454,a close up of a person holding an older cell phone
11455,A man is holding up a flip phone in the city.
11456,A man holding a cell phone in the palm of his hand.
11457,A man wearing glass holding a cell phone.
11458,A woman is playing with a cat while sitting at the dinner table.
11459,"Woman with cat at dinner outside eating fruit, bread and wine."
11460,A woman has a cat at a dining room table.
11461,A woman sitting at a table with a glass of wine.
11462,A woman holds a cat at a table outside of a restaurant.
11463,a person riding skis on a snowy slope
11464,A man riding skis down a snow covered slope.
11465,A woman is skiing down a snowy hill.
11466,"An individual is in the open view in the picture. 
"
11467,A guy is having fun skiing down the slope of the hill.
11468,The skateboarder is putting on a show using the picnic table as his stage.
11469,A skateboarder pulling tricks on top of a picnic table.
11470,A man riding on a skateboard on top of a table.
11471,A skate boarder doing a trick on a picnic table.
11472,A person is riding a skateboard on a picnic table with a crowd watching.
11473,A woman holding a child and an umbrella.
11474,"A woman holding a girl, ballon and orange umbrella."
11475,A woman is holding a little girl and an umbrella.
11476,a male in a white shirt is holding bananas and a bag
11477,A young man picking bananas from a banana tree.
11478,A man standing next to a bushel of yellow bananas with a bag in his hand. 
11479,A man that is smiling holding on to a bag.
11480,Person wearing glasses cradling a cat in his hands while other cats watch.
11481,Man with several cats in blue colored room.
11482,A young vet worker holding a cat in a room full of cats.
11483,A boy holding one of many cats in the room.
11484,a male in a gray sweatshirt is holding a cat and there are three other cats 
11485,A man standing on a field holding a white frisbee.
11486,A guy is holding two frisbees and smiling.
11487,A man in striped shirt holding two frisbees.
11488,A boy playing frisbee with two different types of frisbees.
11489,A smiling man is playing with two frisbees.
11490,A baby in pajamas is chewing on a toy. 
11491,A happy baby in pajamas enjoying a teething toy
11492,Baby holding a teething toy in his hand
11493,A smiling baby playing with a yellow and blue toy.
11494,A baby smiles as he plays with a colorful thermometer. 
11495,A man and a young boy pull luggage next to each other.
11496,A young boy walking and pulling his luggage behind him.
11497,The little boy is pulling the suitcase by the handle.
11498,a young boy dragging a suitcase while walking down the street
11499,A kid and an adult with a suit case on a street.
11500,A little boy that is sitting in front of a television.
11501,A toddler is trying to play a game on the television.
11502,A boy playing a game with a remote controller.
11503,A little boy playing a learning game on the wii
11504,a little boy standing by a tv during a cartoon 
11505,A woman skiing down the side of a snow covered ski slope.
11506,A young lady travels down the ski slopes dressed in a bright red and white ski suit.
11507,Someone skiing down a course on a hill.
11508,A person skiing down a hill passing by a blue marker.
11509,A downhill skier is attempting to navigate an obstacle course.
11510,A woman is riding her skateboard on a ramp in the park.
11511,A boy riding a ramp on his skateboard
11512,A man riding on a skateboard while another man watches.
11513,A skateboarder goes up and down on a half pipe.
11514,a person standing on the shore and a boat and water
11515,A person is looking at a ship in the ocean in a cold climate.
11516,a woman looks at the boat sitting in the water.
11517,A person standing near the ocean looking at a boat. 
11518,a person standing on the beach and a boat out in the water
11519,A baby plays with a cookie by dunking it in a bowl.
11520,A small child that is eating in their high chair.
11521,A baby eating a bowl of food while sitting on a  high chair.
11522,Small child eating a pastry from a bowl in his chair.
11523,The child in the high chair is eating from a bowl. 
11524,a man that is standing up with a wii remote
11525,a man is playing video games on a television 
11526,A young man playing a video game while another man watches.
11527,A man playing a video game does a big backswing with the remote.
11528,A man is feeding a bear through a fence in a zoo.
11529,"A man standing by a couple of young boys, holds up a little boy onto a banister as he holds a bottle up to a cage with a black bear."
11530,A man helps his child feed a zoo animal through the cage.
11531,A young boy sitting at a table with a plate in front of him.
11532,A young boy sits at a table in front of his food.
11533,a little boy eating Mexican food with some salsa
11534,a small child is sitting at a table with food
11535,A boy sitting at a table with a plate of Mexican food.
11536,The woman is on the left of a vase
11537,A woman standing near a table that has a vase on it.
11538,The woman poses near a table with a flower vase on it. 
11539,A mature woman poses for a black and white photograph.
11540,woman in black shirt sitting next to table with a flower arrangement
11541,A young man skateboarding at a skate park.
11542,A skateboarder performs tricks at a skateboard park.
11543,A man riding a skateboard on top of a block of cement.
11544,A boy performs tricks on his skateboard in a skateboard park.
11545,This man is grinding on a stone wall
11546,A girl sits in a suitcase in the woods.
11547,A young woman meditates while sitting outdoors inside a suitcase.
11548,A person sitting in a suitcase in the forest.
11549,A woman is sitting in a suitcase in a field.
11550,a person sitting in an open luggage bag wit h a mirror behind her
11551,"A man sitting at a table, holding a foot long hotdog topped with chilli"
11552,A man at table holding a footlong hotdog.
11553,A man is posing for the camera holding his huge hot dog. 
11554,A man holds up a foot long hotdog covered in chili.
11555,A man holds a foot log hot dog with chili at a table in a restaurant.
11556,A woman cutting into a cake with a knife.
11557,A woman cutting a cake at counter with other people around.
11558,A woman cutting a cake as people fellowship in the background.
11559,A woman at a birthday party is cutting a cake.
11560,A baseball player is hitting the ball with his bat. 
11561,A baseball player swinging at a ball in front of a catcher and umpire.
11562,A baseball player swinging a bat at a ball during a baseball game.
11563,A baseball player is about to hit a ball with the bat.
11564,"A baseball player swings at a ball in flight, as a catcher and umpire look on."
11565,A guy gives a thumbs up while holding a toothbrush.
11566,a white man holding a toothbrush and a tube of tooth paste
11567,A man showing off a toothbrush and other toiletries.
11568,A man with glasses holding a toothbrush and paste
11569,A man is holding up a toothbrush in his right hand and two tube containers in his left hand.
11570,a male skateboarder in a black and white shirt doing a trick
